school_number,name,motto,spirit,source_url
405210,足立,育てたい資質・能力 ／ 自ら行動する力、文武両道を実践する力、創造する力の育成 ／ 様々な場面で主体性を発揮する社会のリーダーとなる素養の育成 ／ 意欲的な学習と積極的な部活動･学校行事を両立する自立心とタイムマネジメント能力の育成,裏を返すと、こんな学校です、が見えてきます。足立高校は自主自律を重んじる、都立高校の古い気風を残しています。たとえば、むやみに土曜授業を実施せず、希望する生徒向けに土日講習を開講して学力向上を目指しています。足立高校は定時制を併置しています。生徒は原則として夕方5時には下校するので、部活動を楽しんだ後、自学自習の時間を十分に確保できます。足立高校は足立区在住の生徒が多数派（約70％）で、まさに地元御用達（古い言い回しですが）です。だからと言って、他の地域出身の生徒が肩身の狭い思いをしているという状況では全くなく、和気あいあいとした、しかし落ち着いた雰囲気で満たされています。足立高校1学年は、気持ちは中学４年生という、安心できる学習環境で始まります。,https://www.metro.ed.jp/adachi-h/our_school/education.html
405250,足立東,また、エンカレッジスクールのフロンティア校として、特色ある教育課程を展開しています。 ／ 教員インタビュー ／ スクールミッションと３つのポリシー ／ スクールミッションと3つのポリシー(614KB),「元気、本気、やる気の足立東高校」をスローガンとして、基礎・基本を身に付けて生徒自らが積極的に知性と感性を磨き、将来、社会貢献に寄与する人間性豊かな生徒を育成します。教職員全体が教育目標の達成と生徒一人一人への指導育成に向けて、それぞれの力量を最大限に発揮した教育を実践し、「厳しく教え、優しく育てる」ことを基盤として新しい時代における本校のあり方を追求し、生徒や保護者、都民からより一層信頼される魅力ある学校づくりを目指しています。,https://www.metro.ed.jp/adachihigashi-h/our_school/education.html
405730,足立工科,『4つのコースで夢をつかもう!!』 ／ 学校のグランドデザイン ／ グランドデザインPDF(197KB) ／ スクールポリシー,総合技術科は、1年生で工業の共通する専門的な基礎科目を学び、実験・実習の体験をとおして、専門分野に関する興味・関心を深めることができる。また、自己の適性と可能性を知ることで4つの専門分野（機械・電気システム・制御システム・情報コミュニケーション）を選択し、より専門的な知識や技能を深め、地域や社会で活躍できる技術者になることができる。,https://www.metro.ed.jp/adachikoka-h/our_school/education.html
405240,足立西,自ら学習に励み、生得の才能を伸ばし、高い矜持をもつ ／ 2 Work Together ／ 自他を尊重し、他者と協働して高め合い、新たな価値を創造する ／ 3 Challenge Globally,社会の有為な形成者として、人権尊重の精神に基づき、国際社会において平和と文化の進展に寄与する資質を養うことを目指して、自己と他者の良さを協働的に生かしながら、地域社会に貢献し様々な社会変化に積極的に対応する生徒を育成します。,https://www.metro.ed.jp/adachinishi-h/our_school/education.html
405270,足立新田,基礎学力を充実して自ら求めて学ぶ学習習慣を身につけ、知性の開発を目指す。 ／ 豊かな情操を育て、真・善・美へのあこがれと実践力を身につけ、感動する素直な心を大切にする。 ／ 健やかな心身を鍛え、困難にうちかつ体力と意志の力を身につけ、気力の,本校の生活指導統一基準を基に、基本的な生活習慣を全教職員で指導し定着させることで集団生活の規律を遵守させ、規範意識を高める。,https://www.metro.ed.jp/adachishinden-h/our_school/education.html
404910,赤羽北桜,本校における教育理念を次の3つに整理する。 ／ 高い志と豊かな人間性 ／ 専門分野への興味・関心の喚起とプロ意識の涵養 ／ 体験的・実践的な教育,家庭分野・福祉分野のエキスパートとして社会で貢献出来る人材を育成する。そのためのコンセプトは、次の3つである。,https://www.metro.ed.jp/akabanehokuo-h/our_school/education.html
408240,秋留台,何事も真剣に取り組み、努力を怠らず、思いやりの心を発揮できる人間を育成する。 ／ 教育課程表(182KB) ／ 教科指導の重点 ／ 令和8年度教科指導の重点(174KB),何事も真剣に取り組み、努力を怠らず、思いやりの心を発揮できる人間を育成する。,https://www.metro.ed.jp/akirudai-h/our_school/education.html
405260,青井,学んだ知識を有効に活用して、自ら考えて行動する人間。（自主・自律） ／ 相手の気持ちを理解できる優しさや思いやりのある、感性豊かな人間。（慈愛の心） ／ コツコツ努力する生徒が多く、キャリア教育に自信があります。 ／ 「時を守り、場を清め、,しかし、高校３年間や、大学・専門学校での数年間の学生生活を終えて社会人になったときに必要とされる力は他にもあります。例えば、「遅刻・欠席をしない」「ルール・マナーを守る」「向上心・協調性をもって行動できる」「思いやりをもつ」などです。そのような能力を少しずつ青井高校で身につけてほしいです。,https://www.metro.ed.jp/aoi-h/our_school/education.html
402070,青山,高きを求めることの大切さを明確に示し、意欲を喚起し続け、強い意志を形成します。 ／ キャリアガイダンスとともに、教育相談体制を整備し、生徒の心身の悩みに積極的に応じます。 ／ 全ての教育活動において、自他の生命を尊重する態度、安全の確保・事,基礎学力の充実・向上を図るとともに、個々の能力を伸ばし、生徒にとって最善の進路実現を目指す個人指導を心がけます。 計画的に進路指導を行うために、進路相談・指導体制を充実させ、自己の進路についての目的意識を確立させ、自覚を促します。,https://www.metro.ed.jp/aoyama-h/our_school/education.html
405720,荒川工科,２.学校の教育目標を達成するための基本方針 ／ （１）検定・資格取得の指導を行い、社会の変化に対応できる実践的な技術を習得させる。 ／ （２）生徒の学力と実態に即したきめ細い個別指導を基本に基礎学力の向上を図る。 ／ （３）生徒による授業評,（１）基本的な生活習慣の育成に努め、挨拶、頭髪、遅刻指導などを徹底し、規範意識の向上を図る。,https://www.metro.ed.jp/arakawakoka-h/our_school/education.html
405520,浅草,他人を思いやり、使命感を持って、積極的に社会に貢献できる人間を育成する。 ／ 生涯を通して、健康で活力のある生活を送るための基礎となる健やかな心と身体をつくる。 ／ （2）学校の教育目標を達成するための基本方針 ／ 基礎・基本の重視,丁寧で考えさせる生活指導を充実し、基本的な生活習慣やマナーを身につけさせ、規範意識を醸成する。,https://www.metro.ed.jp/asakusa-he/our_school/education.html
404510,飛鳥,２ 教育目標 ／ 国際社会ですこやかにたくましく生き抜く基礎・基本を培う。 ／ 個性や特性を大きく伸ばし豊かな創造力を養う。 ／ 社会に貢献できる能力・態度を育てる。,「国際社会で健やかにたくましく生き抜く力」「個性や特性を大きく伸ばす豊かな創造力」「社会に貢献できる能力・態度」の育成を教育目標とする単位制普通科高校です。国際理解教育、演劇コンクール、日本の伝統文化や多言語等授業といった特色ある教育活動を通じて、幅広い教養を身に付け、主体的にかつグローバルに活躍する生徒を育成します。,https://www.metro.ed.jp/asuka-h/our_school/education.html
404050,文京,学校のグランドデザイン ／ グランドデザイン PDF(159KB) ／ グランドデザイン(概念図)PDF(959KB) ／ スクール・ミッション,「至誠一貫」の校訓のもと、東京都教育委員会の目標に基づき、知・徳・体の調和のとれた教育を行い、生徒の個性や能力を磨き、生徒が自らの進路や在り方生き方について自己実現を図れるよう支援し、もって、自立し、志を立て、使命感をもった、社会に有為な人材を育成する。,https://www.metro.ed.jp/bunkyo-h/our_school/education.html
404640,千早,異文化への理解をはぐくみ、国際社会の一員として社会に貢献する精神を養う。 ／ 個性と創造力豊かな人間性をはぐくむとともに、異なる考え方を認め、他を尊敬する心を養う。 ／ 1．国際理解のために使える英語を楽しく学ぶ ／ 2．コンピュータを駆使,情報は受け取るだけのものではありません。情報をつくること、発信することを大切にします。 今や、コンピュータを使うこと、インターネットを利用することは必須条件です。 本校では、アプリケーションソフトの操作から始まり、ネットワークやマルチメディアなど、幅広い知識と技術の習得に向かい学習を重ねていきます。,https://www.metro.ed.jp/chihaya-h/our_school/education.html
402250,千歳丘,「高志」「自律」「信頼」を校訓として定め、生徒の自己実現を図るために次の教育目標を定める。 ／ 目標を高く掲げ、自ら学び考え行動し、夢を実現する、個性と創造力豊かな人間を育成する。 ／ 規範意識を持ち、よりよい生き方を求めて進んで実行する、,組織的かつきめ細かい生活指導を通じて、基本的な生活習慣や社会規範を身につけさせる。,https://www.metro.ed.jp/chitosegaoka-h/our_school/education.html
410030,調布北,グッドトライ ／ 校長インタビュー ／ 校長 上野 勝敏 ／ 令和8年度_教育課程表(189KB),特に、これから皆さんが社会の担い手となったとき、未知の課題や正解がない、答えがあっても一つとは限らない問いに、何らかの答えを見い出していかねばなりません。生徒一人ひとりが自分の可能性を信じて、さまざまな課題の解決に向かい、決断し実行していく力を粘り強くしっかりと身につけてほしい、仲間とともに知恵を出し合い、協働しながら挑戦していくことの勇気を身につけてほしい。,https://www.metro.ed.jp/chofukita-h/our_school/education.html
410040,調布南,【校訓】 至誠 創造 力行 ／ 【教育目標】 1 明朗にして、心豊かな人間を育てる。 ／ 2 知性ある、想像力豊かな人間を育てる。 ／ 3 自主性のある、個性豊かな人間を育てる。,本校は、3つの校訓に基づく資質・能力の育成を目指します。具体的には、「至誠」（生きる力・態度の育成）に基づく「協働力」「コミュニケーション能力」「多様性・他者理解力」、「創造」（思考力・判断力・表現力の育成）に基づく「発想力」「主体性」「論理的思考力」、「力行」（基礎的な知識・技能の習得）に基づく「基礎的な学力」「実践力」「課題解決力」を生徒に身に付けさせます。,https://www.metro.ed.jp/chofuminami-h/our_school/education.html
402620,第一商業,【学習指導】学習習慣の定着 ／ 【生活指導】規範意識の育成 ／ 【進路指導】進路希望の実現 ／ 【特別活動】社会人としての素養の醸成,本校は、人間尊重の精神を基調とし、民主的・文化的な国家及び社会の形成者として、また国際社会の一員として、その発展に寄与する産業人を育成することを目標とする。,https://www.metro.ed.jp/daiichishogyo-h/our_school/education.html
406250,江戸川,１ スクール・ミッション ／ ２ 教育目標 ／ 合理性、積極性、自主性、協調性の4資質を備えた人格陶冶のため、以下を目標とする ／ キャリア教育の視点に立ち、自ら目標を設定し、振り返りながら計画的に行動できる人物を育成する。,主体的な問題解決、計画的な行動、高い規範意識と自他尊重、総合知をもって学びを人生に生かすことができる人物の育成を教育目標とし、進学と部活動の両立や活発な学校行事と自然体験合宿などの体験活動を通して、合理性、積極性、自主性、協調性の４資質を備え、学びを自分と世界の幸福にいかせる生徒を育成します。,https://www.metro.ed.jp/edogawa-h/our_school/education.html
