school_number,name,motto,spirit,source_url
408260,五日市,東京都立五日市高等学校 ／ 総合的な探究の時間 ／ 五日市高校では、全ての学年で「総合的な探究の時間」を実施しています。 ／ 地域を深めるをテーマに、地域の魅力を他の地域と比較しながら視点を変え視野を広げていきます。,五日市高校では、普通科目と関係がある検定取得を推奨し目標にしています。また、マネジメントコースや商業・情報系の授業を選択することで、商業科の流れを汲んだ資格を取ることもできます。長期休業中に資格取得対策講座に参加して集中的に学習します。,https://itsukaichi-h.metro.ed.jp/zen/03gakusyuu-tokusyoku.html
401220,八潮,東京都立八潮高等学校 ／ 文字サイズ変更 ／ サイトマップ ／ サイトマップ,八潮高校では（1）自主性のある個性豊かな人間、（2）礼儀を重んじ公共のものを大切にする人間、（3）知性を磨き深く考える人間、（4）心身を鍛え強く明るい人間、（5）責任を重んじ信頼される人間」の育成を目指して、学習指導、生活指導、進路指導を行っています。ここでは八潮高校の6つの特色についてご紹介します。,https://yashio-h.metro.ed.jp/site/zen/page_0000000_00015.html
407910,八王子桑志,夢を育てる。 ／ 専門性を鍛え自立する心を育てる。 ／ 志をもって社会に貢献する心を育てる。 ／ 相手を思いやる心、敬う心を育てる。,常に向上心と積極的態度をもち、豊かな能力を兼ね備えた心身ともに健康で有為な社会人・国際人の育成を目指し、次の教育目標を掲げる。 言語活動を通して豊かな表現力、コミュニケーション能力を育てる教育を推進する。,https://www.metro.ed.jp/hachiojisoushi-h/our_school/education.html
401510,六郷工科,単位制工科高校 ／ 企業と連携したものづくり人材の育成 ／ チューターによる個別支援 ／ アクティブラーニングを取り入れた授業,本校では、確かな知識・技術を身に付けるために、各学科のカリキュラムに最適な施設・設備を用意しています。全ての教室・実習室は冷暖房完備し、生徒たちが集中して授業・実習に取り組める環境づくりを行っています。,https://rokugokoka-h.metro.ed.jp/zen/content_tokusyoku.html
402930,国際,サイトマップ ／ English  | ／ 国際高校トップ  | ／ ■スクール・ミッション,「豊かな人間性を養い、主体的に考え、創造性に富んだ個性の伸長。日本の文化・伝統を理解し、尊重する態度を養うとともに、異なる国、民族、文化を理解し、尊敬し、共に生きる姿勢の育成。心身を鍛え、積極的に国際社会で行動する意欲をもった人材の育成」を教育目標とし、豊かな国際感覚と優れた外国語能力を生かして国際社会に貢献できる人材を育成します。,https://kokusai-h.metro.ed.jp/principal/education.html
404250,大山,個性を伸長し、自主精神を培うとともに、社会性や公共心を育てる。 ／ 真理と平和を愛し、個人の尊厳を重んじる人間を育てる。 ／ 体罰を根絶するとともに、いじめ防止に積極的に取り組み、生徒の人権を守る指導を徹底する。 ／ 各教科・科目の指導,規律ある学校生活により、基本的生活習慣や良識ある社会性を身に付けさせ、規範意識を向上させる生徒を育成する。,https://www.metro.ed.jp/ohyama-h/our_school/education.html
411910,大島海洋国際,「誠実」Faithfulness ／ 「礼節」Courtesy ／ 「協力」Cooperation ／ ≪スクール・ポリシー≫,「海に学び、未来を拓く。」をコンセプトに、校訓「誠実・礼節・協力」を掲げ、「海洋に対する真摯な姿勢と態度を涵養し、世界に広がる海洋を活躍する生徒を育成する。」を教育目標とし、乗船実習、寄宿舎生活、教育活動を通じて、自然に対する「謙虚さ」「勇気・決断」を養い、自律した責任感ある人格を形成する教育を実践しながら、広大な海洋を舞台に国際的視野で活躍できる人材を育成します。,https://www.metro.ed.jp/oosimakaiyokokusai-h/our_school/education.html
402080,広尾,東京都立広尾高等学校 ／ 東京都立広尾高等学校 ／ 着任のご挨拶 ／ 広尾高校のホームページへようこそ！,教職員と保護者の皆様、さらに生徒諸君が一丸となって、理想的な教育環境を実現している本校に着任できたことはこの上ない喜びであります。また、同時にその責務の重大さに身のひきしまる思いで一杯であります。,https://hiroo-h.metro.ed.jp/01koutyo/aisatsu.html
406630,江東商業,自主・自立・協調の精神、豊かな情操をもち、「生きる力」を備えた 人材を育成する。 ／ 生徒の自己実現を的確に支援し、高い目標と志をもち社会で活躍できる人材を育成する。 ／ スクールミッション・スクールポリシー ／ スクール・ミッション・スク,人権尊重の精神に則り自他を敬愛し、民主的で平和な社会の実現に貢献できる人材を育成する。 生徒の能力・適性・興味・意欲・関心・進路に応じた知識や技能の習得を通して望ましい職業観や勤労観をもち、社会人即戦力として通用する人材を育成する。,https://www.metro.ed.jp/kotosyogyo-h/our_school/education.html
404420,王子総合,スクールポリシー ／ 挨拶、ルール、モラル、マナー、エチケット等の指導を徹底し、規律向上の精神を育てます。 ／ 社会で生きて働く知識と、変化に応じて主体的に活用できる技能を育成します。 ／ 主体的な学習に取り組み、生涯に渡って学び続ける態度,挨拶、ルール、モラル、マナー、エチケット等の指導を徹底し、規律向上の精神を育てます。,https://www.metro.ed.jp/oujisogo-h/our_school/education.html
