line_code,line_name,factor,evidence
11311,JR中央本線(東京～塩尻),0.74,立川→新宿 公称27分(中央特快) vs 概算37分 / 八王子→新宿 公称41分(中央特快) vs 概算52分
11320,JR常磐線(上野～取手),0.71,松戸→上野 公称19分(快速) vs 概算27分
11321,JR埼京線,0.74,大宮→新宿 公称35分(快速) vs 概算48分
21001,東武東上線,0.64,川越→池袋 公称34分(急行) vs 概算54分 / 志木→池袋 公称22分(急行) vs 概算33分
22001,西武池袋線,0.56,所沢→池袋 公称30分(急行) vs 概算43分 / ひばりヶ丘→池袋 公称15分(急行) vs 概算29分
23001,京成本線,0.69,京成船橋→京成上野 公称32分(快速) vs 概算47分
24001,京王京王線,0.56,京王八王子→新宿 公称42分(特急) vs 概算72分 / 調布→新宿 公称18分(特急) vs 概算32分
24002,京王相模原線,0.63,京王多摩センター→調布 公称14分(特急(区間換算)) vs 概算22分
25001,小田急小田原線,0.58,町田→新宿 公称37分(快速急行) vs 概算58分 / 登戸→新宿 公称18分(快速急行) vs 概算32分
26001,東急東横線,0.55,横浜→渋谷 公称25分(特急) vs 概算45分
26003,東急田園都市線,0.76,中央林間→渋谷 公称46分(急行) vs 概算59分 / 長津田→渋谷 公称36分(急行) vs 概算48分
27001,京急本線,0.6,横浜→品川 公称28分(快特) vs 概算46分
