name,target_score,selection_type,selection_note,score_layer,no_hs_admission
八王子東,920,jiko,自校作成問題校。共通問題の模試とは尺度がずれます,重点校,0
立川,920,jiko,自校作成問題校。共通問題の模試とは尺度がずれます,重点校,0
国立,920,jiko,自校作成問題校。共通問題の模試とは尺度がずれます,重点校,0
西,920,jiko,自校作成問題校。共通問題の模試とは尺度がずれます,重点校,0
戸山,920,jiko,自校作成問題校。共通問題の模試とは尺度がずれます,重点校,0
日比谷,920,jiko,自校作成問題校。共通問題の模試とは尺度がずれます,重点校,0
青山,920,jiko,自校作成問題校。共通問題の模試とは尺度がずれます,重点校,0
小松川,870,std,,特別推進校,0
町田,870,std,,特別推進校,0
小山台,870,std,,特別推進校,0
国分寺,870,jiko,自校作成問題校。共通問題の模試とは尺度がずれます,特別推進校,0
駒場,870,std,,特別推進校,0
新宿,870,jiko,自校作成問題校。共通問題の模試とは尺度がずれます,特別推進校,0
国際,870,keisha,傾斜配点: 英語×2（自校作成）,特別推進校,0
日野台,805,std,,推進校,0
墨田川,805,jiko,自校作成問題校。共通問題の模試とは尺度がずれます,推進校,0
武蔵野北,805,std,,推進校,0
竹早,805,std,,推進校,0
小金井北,805,std,,推進校,0
三田,805,std,,推進校,0
江戸川,805,std,,推進校,0
調布北,805,std,,推進校,0
江北,805,std,,推進校,0
城東,805,std,,推進校,0
多摩科学技術,805,keisha,傾斜配点: 数学・理科×1.5,推進校,0
昭和,805,std,,推進校,0
北園,805,std,,推進校,0
上野,805,std,,推進校,0
豊多摩,805,std,,推進校,0
富士,,std,,,1
大泉,,std,,,1
白鴎,,std,,,1
両国,,std,,,1
武蔵,,std,,,1
三宅,470,std,,慢性定員割れ,0
新島,470,std,,慢性定員割れ,0
杉並工科,470,std,,慢性定員割れ,0
大島,470,std,,慢性定員割れ,0
墨田工科,470,std,,慢性定員割れ,0
神津,470,std,,慢性定員割れ,0
八丈,470,std,,慢性定員割れ,0
五日市,470,std,,慢性定員割れ,0
北豊島工科,470,std,,慢性定員割れ,0
六郷工科,470,std,,慢性定員割れ,0
大森,470,std,,慢性定員割れ,0
蔵前工科,565,std,,一部定員割れ,0
多摩,470,std,,慢性定員割れ,0
赤羽北桜,470,std,,慢性定員割れ,0
小笠原,470,std,,慢性定員割れ,0
野津田,470,std,,慢性定員割れ,0
羽村,470,std,,慢性定員割れ,0
葛西工科,470,std,,慢性定員割れ,0
田柄,470,std,,慢性定員割れ,0
足立工科,470,std,,慢性定員割れ,0
大山,470,std,,慢性定員割れ,0
深沢,470,fukasawa,7:3と10:0の高い方を採用（令和8年度新設の特例）,慢性定員割れ,0
荒川工科,470,std,,慢性定員割れ,0
大田桜台,470,std,,慢性定員割れ,0
青井,470,std,,慢性定員割れ,0
田無工科,470,std,,慢性定員割れ,0
総合工科,470,std,,慢性定員割れ,0
江東商業,470,std,,慢性定員割れ,0
山崎,470,std,,慢性定員割れ,0
瑞穂農芸,470,std,,慢性定員割れ,0
第四商業,470,std,,慢性定員割れ,0
光丘,470,std,,慢性定員割れ,0
葛西南,470,std,,慢性定員割れ,0
町田工科,565,std,,一部定員割れ,0
芝商業,470,std,,慢性定員割れ,0
第一商業,470,std,,慢性定員割れ,0
中野工科,,no_exam,学力検査なし。面接・作文・調査書で選抜,学力検査なし,0
東村山西,470,std,,慢性定員割れ,0
橘,470,std,,慢性定員割れ,0
八潮,470,std,,慢性定員割れ,0
練馬工科,,no_exam,学力検査なし。面接・作文・調査書で選抜,学力検査なし,0
板橋有徳,470,std,,慢性定員割れ,0
農産,565,std,,一部定員割れ,0
葛飾商業,470,std,,慢性定員割れ,0
足立新田,565,std,,一部定員割れ,0
町田総合,565,std,,一部定員割れ,0
翔陽,565,std,,一部定員割れ,0
府中工科,565,std,,一部定員割れ,0
葛飾総合,565,std,,一部定員割れ,0
第三商業,565,std,,一部定員割れ,0
拝島,470,std,,慢性定員割れ,0
美原,565,std,,一部定員割れ,0
大泉桜,565,std,,一部定員割れ,0
忍岡,565,std,,一部定員割れ,0
篠崎,565,std,,一部定員割れ,0
武蔵村山,565,std,,一部定員割れ,0
秋留台,,no_exam,学力検査なし。面接・作文・調査書で選抜,学力検査なし,0
淵江,565,std,,一部定員割れ,0
園芸,700,std,,無指定・充足,0
久留米西,565,std,,一部定員割れ,0
永山,565,std,,一部定員割れ,0
片倉,700,std,,無指定・充足,0
多摩工科,565,std,,一部定員割れ,0
若葉総合,700,std,,無指定・充足,0
つばさ総合,700,std,,無指定・充足,0
大島海洋国際,565,std,,一部定員割れ,0
世田谷総合,565,std,,一部定員割れ,0
足立東,,no_exam,学力検査なし。面接・作文・調査書で選抜,学力検査なし,0
飛鳥,700,std,,無指定・充足,0
足立西,700,std,,無指定・充足,0
蒲田,,no_exam,学力検査なし。面接・作文・調査書で選抜,学力検査なし,0
桜町,700,std,,無指定・充足,0
千歳丘,700,std,,無指定・充足,0
葛飾野,565,std,,一部定員割れ,0
八王子北,700,std,,無指定・充足,0
青梅総合,700,std,,無指定・充足,0
第五商業,565,std,,一部定員割れ,0
東久留米総合,700,std,,無指定・充足,0
練馬,700,std,,無指定・充足,0
府中西,700,std,,無指定・充足,0
高島,700,std,,無指定・充足,0
八王子桑志,565,std,,一部定員割れ,0
福生,700,std,,無指定・充足,0
東大和,700,std,,無指定・充足,0
小平西,700,std,,無指定・充足,0
農芸,565,std,,一部定員割れ,0
小川,700,std,,無指定・充足,0
清瀬,700,std,,無指定・充足,0
王子総合,700,std,,無指定・充足,0
千早,700,std,,無指定・充足,0
成瀬,700,std,,無指定・充足,0
富士森,700,std,,無指定・充足,0
松が谷,700,std,,無指定・充足,0
総合芸術,700,ratio64,芸術科のため学力検査:調査書=6:4,無指定・充足,0
日本橋,700,std,,無指定・充足,0
田無,700,std,,無指定・充足,0
南葛飾,700,std,,無指定・充足,0
科学技術,700,keisha,傾斜配点: 数学・理科×1.5,無指定・充足,0
紅葉川,700,std,,無指定・充足,0
上水,700,std,,無指定・充足,0
東村山,,no_exam,学力検査なし。面接・作文・調査書で選抜,学力検査なし,0
府中東,700,std,,無指定・充足,0
松原,700,std,,無指定・充足,0
杉並,565,std,,一部定員割れ,0
杉並総合,700,std,,無指定・充足,0
板橋,700,std,,無指定・充足,0
工芸,700,std,,無指定・充足,0
竹台,700,std,,無指定・充足,0
足立,700,std,,無指定・充足,0
南平,700,std,,無指定・充足,0
